radius,0.25,in,,
,,,,
Point,Length_clean,Force_lbs,Length_in,noise
0,2,0,2,0
1,2.0033,3189.705354,2.001917956,-0.344941754
2,2.00644,6322.451684,2.004027394,-0.601215646
3,2.00948,9284.320941,2.011715295,0.556187426
4,2.0121,11818.99752,2.0112876,-0.201878669
5,2.01406,13470.80922,2.0162744,0.549735453
6,2.01594,14382.15361,2.0125971,-0.829116904
7,2.01906,15008.70287,2.022633621,0.884971522
8,2.02418,15435.89555,2.021193704,-0.737655669
9,2.02996,15692.21116,2.027256655,-0.665861564
10,2.03638,15863.08823,2.034728169,-0.405580204
11,2.04598,16033.96531,2.04674336,0.186551249
12,2.08046,16432.67848,2.078659058,-0.43282292
13,2.11952,16717.4736,2.120863395,0.316910174
14,2.16042,16888.35067,2.164250865,0.886601922
15,2.19034,16973.78921,2.186209794,-0.942823067
16,2.2194,17002.26872,2.216227176,-0.714793105
17,2.25,17002.26872,2.250524887,0.116641612
18,2.278,16831.39164,2.274959584,-0.667343174
19,2.3066,16261.8014,2.30634202,-0.055922108
