category,yield_strength,Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W
high_strength,1404.2,0.786,0.000469,0.000512,0.0012,0.0576,0.124,0.0172,0.00011,6.06e-05,9.55e-05,0.0106,0.00235,,
high_strength,1405.6,0.667,0.00984,0.000102,0.0002,0.158,9.59e-05,0.0295,0.00453,6.06e-05,0.129,0.00104,,0.000804,
high_strength,1405.6,0.701,0.0075,0.000102,0.0002,0.154,9.59e-05,0.0289,0.00508,6.06e-05,0.101,0.000835,,0.00121,
high_strength,1405.6,0.706,0.0116,0.000101,0.000199,0.0965,0.0589,0.00755,0.00317,6e-05,0.115,0.00062,0.000349,,
high_strength,1412.5,0.659,0.00747,0.000102,0.0134,0.156,9.55e-05,0.0297,0.00451,6.03e-05,0.128,0.000831,,0.0008,
high_strength,1412.5,0.711,0.00699,0.000102,0.000199,0.0969,0.0458,0.00875,0.00549,6.03e-05,0.123,0.000622,0.000234,,
high_strength,1414.5,0.768,0.000468,0.000512,0.0018,0.0827,0.117,0.0179,0.00011,6.05e-05,9.54e-05,0.00958,0.00235,,
high_strength,1419.4,0.765,0.000909,0.00109,0.0618,0.000105,0.17,0.000114,0.000107,5.87e-05,9.26e-05,0.000607,,,
high_strength,1420.0,0.812,0.000934,0.000715,0.0022,0.0507,0.0975,0.0181,0.00011,6.04e-05,9.52e-05,0.0146,0.00258,,
high_strength,1423.8,0.702,0.0093,0.000102,0.000199,0.133,0.0115,0.0117,0.00011,0.000481,0.131,0.000621,,,
high_strength,1426.2,0.737,0.00836,0.000102,0.000199,0.0977,0.0266,0.00756,0.00318,6.01e-05,0.118,0.000621,0.00035,,
high_strength,1429.7,0.707,0.0112,0.000102,0.000199,0.0956,0.0485,0.0099,0.00318,6.01e-05,0.123,0.000621,0.00035,,
high_strength,1437.3,0.802,0.000468,0.000512,0.0012,0.0526,0.111,0.0173,0.00011,6.05e-05,9.54e-05,0.0121,0.00258,,
high_strength,1438.6,0.685,0.0116,0.000101,0.000198,0.151,0.00882,0.0116,0.000109,0.000479,0.131,0.000619,,,
high_strength,1451.7,0.803,,0.000512,0.0012,0.052,0.11,0.0173,0.00011,6.05e-05,9.54e-05,0.0137,0.00235,,
high_strength,1453.8,0.682,0.00515,0.000102,0.0002,0.0995,0.0355,0.0117,0.00552,6.05e-05,0.159,0.000625,0.000353,,
high_strength,1455.4,0.741,0.00702,0.00164,0.001,0.0321,0.0964,0.00586,0.00011,6.05e-05,0.115,0.000208,,,
high_strength,1460.7,0.656,0.00758,0.000104,0.000203,0.156,9.7e-05,0.0424,0.00458,6.13e-05,0.131,0.000844,,0.00122,
high_strength,1460.7,0.674,0.00752,0.000103,0.000201,0.156,9.61e-05,0.0303,0.000111,6.07e-05,0.129,0.00146,,0.00121,
high_strength,1462.7,0.778,0.000465,0.000813,0.00238,0.0966,0.0808,0.0189,0.00011,6.01e-05,9.47e-05,0.0186,0.00268,,
high_strength,1463.0,0.723,0.0032,0.006,0.00587,0.158,0.0655,0.0129,0.000108,5.91e-05,9.32e-05,0.0244,,,
high_strength,1463.3,0.751,0.00563,0.00185,0.0012,0.0218,0.0967,0.00587,0.000111,6.06e-05,0.116,0.000209,,,
high_strength,1471.0,0.683,0.00704,0.000103,0.000201,0.156,9.61e-05,0.0299,0.00454,6.07e-05,0.117,0.000836,,0.00121,
high_strength,1471.1,0.799,0.000468,0.0256,0.000401,0.000108,0.173,0.000117,0.00011,6.05e-05,9.55e-05,0.00104,0.00047,,
high_strength,1474.4,0.76,0.000454,0.000992,0.064,0.000105,0.172,0.000114,0.000107,5.87e-05,9.25e-05,0.00101,0.00125,,
high_strength,1475.8,0.78,0.000467,0.00051,0.002,0.083,0.0993,0.0179,0.00011,6.03e-05,9.51e-05,0.0139,0.00234,,
high_strength,1478.4,0.714,0.00138,0.00602,0.00589,0.154,0.0798,0.0144,0.000108,5.93e-05,9.35e-05,0.0245,,,
high_strength,1486.2,0.689,0.000476,0.000104,0.000204,0.111,0.0683,0.0327,0.000112,6.15e-05,0.0975,0.000636,,,
high_strength,1502.0,0.648,0.00751,0.000103,0.000201,0.158,9.61e-05,0.0288,0.00531,6.07e-05,0.149,0.000836,,0.00201,
high_strength,1502.0,0.67,0.00798,0.000103,0.000201,0.155,9.61e-05,0.0299,0.00454,6.07e-05,0.131,0.000627,,0.00121,
high_strength,1503.4,0.748,0.00704,0.00164,0.0012,0.0218,0.0967,0.00716,0.000111,6.06e-05,0.116,0.000209,,,
high_strength,1506.8,0.764,0.000467,0.000511,0.002,0.0831,0.117,0.0178,0.00011,6.04e-05,9.52e-05,0.0131,0.00234,,
high_strength,1515.8,0.67,0.00564,0.000103,0.000201,0.158,9.63e-05,0.03,0.00477,6.08e-05,0.129,0.000628,,0.00121,
high_strength,1521.3,0.745,0.00138,0.000101,0.000197,0.134,0.0794,0.0129,0.000108,5.94e-05,9.37e-05,0.0268,0.000115,,
high_strength,1522.7,0.736,0.0107,0.000101,0.000198,0.0964,0.0266,0.00755,0.00328,6e-05,0.118,0.000619,0.000349,,
high_strength,1525.0,0.718,0.000473,0.000103,0.000606,0.0866,0.0969,0.00118,,,0.0784,0.00421,0.00581,0.000405,0.00707
high_strength,1529.6,0.667,0.00984,0.000102,0.0002,0.158,9.59e-05,0.0295,0.00508,6.06e-05,0.128,0.00104,,0.000804,
high_strength,1536.5,0.684,0.00795,0.000102,0.0002,0.156,9.57e-05,0.0306,0.00452,6.04e-05,0.109,0.00271,,0.00481,
high_strength,1536.5,0.724,0.0014,0.00051,0.00339,0.000108,0.157,0.000117,0.044,6.03e-05,0.0656,0.00208,0.00164,,
high_strength,1547.3,0.722,0.00797,0.00164,0.001,0.0322,0.0961,0.0071,0.000111,6.06e-05,0.131,0.000209,,,
high_strength,1550.3,0.666,0.00751,0.000103,0.000201,0.155,9.6e-05,0.0299,0.00963,6.07e-05,0.129,0.00104,,0.00161,
high_strength,1550.3,0.685,0.0112,0.000102,0.000199,0.0957,0.0705,0.00991,0.00307,6.02e-05,0.123,0.000622,0.000351,,
high_strength,1555.8,0.778,0.000931,0.000611,0.00159,0.0796,0.0981,0.0189,0.00011,6.02e-05,9.49e-05,0.0189,0.00269,,
high_strength,1564.0,0.737,0.0111,0.000101,0.000198,0.0964,0.0266,0.00755,0.00317,5.99e-05,0.117,0.000619,0.000233,,
high_strength,1564.0,0.818,0.0178,0.00194,0.0002,0.0799,9.58e-05,0.0337,0.000662,6.05e-05,0.0466,0.000625,,,
high_strength,1571.2,0.673,0.000475,0.000104,0.000203,0.00011,0.144,0.0149,0.000112,6.14e-05,0.145,0.000635,0.0215,,
high_strength,1575.5,0.694,0.0103,0.000102,0.0002,0.0917,0.044,0.00877,0.00308,6.04e-05,0.146,0.000624,0.000352,,0.00153
high_strength,1577.8,0.782,0.0181,0.00187,0.000203,0.0816,9.73e-05,0.0576,0.0108,6.15e-05,0.0476,0.000635,,,
high_strength,1580.0,0.666,0.000482,0.000105,0.000206,0.000111,0.149,0.0308,0.000114,6.23e-05,0.15,0.000644,0.00242,,
high_strength,1580.1,0.705,0.000475,0.000104,0.000203,0.00011,0.147,0.0304,0.000112,6.15e-05,0.0891,0.0195,0.00835,,
high_strength,1586.7,0.68,,0.000102,0.000199,0.127,0.0976,0.00856,0.00011,6.01e-05,0.0709,0.00891,0.00654,,
