,Unnamed: 0,ExtrTemp,LineSpeed,WaterTemp,Measure,City
0,0,234.83,55.28,26.67,170.67,Kairo
1,1,235.09,54.13,26.97,182.86,Kairo
2,2,235.09,54.33,27.46,182.74,Kairo
3,3,235.05,55.0,26.83,175.49,Kairo
5,5,235.04,55.26,26.62,172.8,Kairo
6,6,234.9,54.94,26.95,174.68,Kairo
7,7,235.06,55.21,27.09,174.83,Kairo
8,8,234.66,55.02,27.06,171.89,Kairo
9,9,234.55,55.32,26.77,167.72,Kairo
10,10,235.11,54.72,26.85,178.29,Kairo
11,11,234.87,54.75,27.1,176.2,Kairo
12,12,234.89,55.25,26.99,172.41,Kairo
13,13,235.18,55.03,26.86,176.67,Kairo
14,14,235.12,55.45,26.73,172.55,Kairo
15,15,235.19,54.74,26.9,179.1,Kairo
16,16,235.18,55.19,26.71,175.07,Kairo
17,17,235.03,54.82,27.04,177.27,Kairo
18,18,234.79,55.79,26.9,167.15,Kairo
21,21,235.06,55.61,26.43,169.81,Kairo
22,22,234.86,54.96,26.87,173.82,Kairo
23,23,235.1,55.18,26.74,174.37,Kairo
24,24,235.07,55.16,27.12,175.41,Kairo
25,25,235.22,54.97,26.94,177.8,Kairo
26,26,234.7,54.69,26.91,174.43,Kairo
28,28,235.14,55.82,27.24,171.55,Kairo
29,29,234.7,55.42,26.97,169.08,Kairo
30,30,235.05,54.35,27.03,180.93,Kairo
31,31,234.58,54.66,26.88,173.28,Kairo
32,32,235.12,54.7,26.73,178.13,Kairo
33,33,235.37,54.69,27.09,181.91,Kairo
34,34,234.96,54.79,27.03,176.71,Kairo
35,35,235.08,55.23,27.14,175.02,Kairo
36,36,235.12,55.34,27.09,174.44,Kairo
37,37,234.59,55.47,26.85,167.24,Kairo
38,38,234.75,54.71,27.09,175.3,Kairo
39,39,235.26,55.28,27.32,177.02,Kairo
40,40,235.04,55.72,26.73,169.74,Kairo
41,41,235.01,55.5,27.1,172.1,Kairo
42,42,234.88,56.87,26.86,159.91,Kairo
43,43,235.06,54.95,26.94,176.32,Kairo
44,44,235.13,55.74,27.1,171.59,Kairo
45,45,235.03,54.83,26.73,176.27,Kairo
46,46,234.7,55.18,27.33,171.94,Kairo
47,47,235.01,54.65,26.38,176.29,Kairo
48,48,235.3,54.86,27.17,180.17,Kairo
49,49,234.7,54.23,27.12,178.39,Kairo
50,50,234.86,55.74,26.84,168.05,Kairo
51,51,235.1,54.4,27.12,181.31,Cairo
52,52,234.96,55.62,27.15,170.88,Cairo
53,53,234.73,55.06,27.05,172.38,Cairo
54,54,234.99,54.41,27.22,180.37,Cairo
55,55,235.22,55.18,27.11,176.75,Cairo
56,56,235.02,55.34,27.05,173.23,Cairo
57,57,234.73,54.84,27.38,174.98,Cairo
58,58,234.97,54.94,27.14,176.03,Cairo
59,59,234.71,53.48,26.68,182.81,Cairo
60,60,234.75,55.01,27.0,172.79,Cairo
61,61,235.04,54.71,27.02,178.13,Cairo
62,62,234.94,54.58,26.76,177.29,Cairo
63,63,234.95,54.43,26.88,178.78,Cairo
64,64,234.91,54.17,26.99,180.67,Cairo
65,65,234.75,55.46,26.94,169.28,Cairo
66,66,235.32,55.57,26.91,174.27,Cairo
67,67,234.92,55.53,26.9,170.4,Cairo
68,68,234.84,55.04,26.9,173.14,Cairo
69,69,234.93,54.76,27.04,176.61,CAI
70,70,234.81,55.05,27.2,173.77,CAI
71,71,235.0,54.84,26.62,175.54,CAI
72,72,235.2,55.75,27.12,172.33,CAI
73,73,235.19,55.53,26.9,173.2,CAI
74,74,235.48,55.41,26.94,177.25,CAI
75,75,235.23,56.09,26.94,169.57,CAI
76,76,235.06,54.13,27.05,182.74,CAI
77,77,234.81,54.92,26.87,173.69,CAI
78,78,235.23,54.64,26.63,179.41,CAI
79,79,234.86,55.93,27.09,167.33,CAI
80,80,234.92,55.49,26.99,170.91,CAI
81,81,235.12,55.56,27.33,173.45,CAI
82,82,234.54,55.36,26.87,167.56,CAI
83,83,234.88,54.97,26.44,172.72,CAI
84,84,235.08,54.77,27.32,178.95,CAI
85,85,235.07,54.8,27.07,177.87,CAI
86,86,235.2,54.76,26.64,178.24,Cairo
87,87,235.18,54.6,26.96,180.22,Cairo
88,88,234.8,54.85,26.79,173.86,Cairo
89,89,235.02,54.72,27.16,178.27,Cairo
90,90,234.66,54.04,27.16,179.5,Cairo
91,91,234.97,55.69,26.94,169.82,Cairo
92,92,234.84,55.85,27.1,167.77,Cairo
93,93,234.74,55.05,26.99,172.36,Cairo
94,94,234.94,55.43,27.19,172.17,Cairo
95,95,235.24,53.98,27.03,185.64,Cairo
96,96,235.14,55.34,27.09,174.71,Cairo
97,97,235.19,56.65,26.93,165.03,Cairo
98,98,234.91,55.59,27.27,170.98,Cairo
99,99,235.29,55.43,27.32,176.3,Cairo
100,100,235.48,54.66,27.43,184.29,Cairo
101,101,235.03,54.49,27.45,180.92,Cairo
102,102,234.86,55.35,26.7,170.47,Cairo
103,103,234.84,54.4,27.22,178.91,Cairo
104,104,234.92,55.26,26.63,171.65,Cairo
105,105,235.24,54.09,27.1,184.96,Cairo
106,106,234.85,55.31,26.95,171.45,Cairo
107,107,235.12,55.63,26.76,171.23,Cairo
108,108,234.89,55.12,26.98,173.34,Cairo
109,109,234.71,55.26,27.13,170.91,Cairo
110,110,235.1,54.9,26.94,177.01,Cairo
111,111,234.93,55.71,26.94,169.28,Cairo
112,112,234.9,55.54,27.27,171.18,Cairo
113,113,235.2,55.37,26.89,174.39,Cairo
114,114,235.07,54.64,26.92,178.65,Cairo
115,115,235.12,53.68,26.95,186.33,Cairo
116,116,235.02,56.27,26.74,165.4,Cairo
117,117,234.99,54.23,27.03,181.15,Cairo
118,118,235.02,55.64,26.9,170.64,Cairo
119,119,235.13,55.09,26.88,175.81,Cairo
120,120,235.05,54.68,26.94,178.16,Cairo
121,121,235.03,55.5,27.0,172.1,Cairo
122,122,235.07,55.25,26.92,174.05,Cairo
123,123,234.9,54.79,26.95,175.84,Cairo
124,124,234.65,55.45,27.21,169.12,Cairo
125,125,235.15,54.33,27.39,183.19,Cairo
126,126,235.03,55.49,26.98,172.09,Cairo
127,127,234.95,56.17,27.48,167.69,Cairo
128,128,235.08,55.01,26.84,175.83,Cairo
129,129,234.47,54.07,27.31,177.82,Cairo
130,130,235.3,54.61,27.14,181.97,Cairo
