Composition,Glass_Forming,Composition_Length,num_elements
Al,False,2,1
Al(NiB)2,True,8,3
Al10Co21B19,True,11,3
Al10Co23B17,True,11,3
Al10Co27B13,True,11,3
Al10Co29B11,False,11,3
Al10Co31B9,False,10,3
Al10Co33B7,False,10,3
Al10Cr3Si7,True,10,3
Al10Fe23B17,True,11,3
Al10Fe27B13,True,11,3
Al10Fe31B9,True,10,3
Al10Fe33B7,True,10,3
Al10Ni23B17,True,11,3
Al10Ni27B13,True,11,3
Al10Ni29B11,True,11,3
Al10Ni31B9,True,10,3
Al10Ni33B7,False,10,3
Al10V3Ge7,False,9,3
Al11(CrSi2)3,True,12,3
Al11(VGe2)3,True,11,3
Al11Cr2Si7,True,10,3
Al11Cr4Si5,False,10,3
Al11Cr5Si4,False,10,3
Al11V2Cu7,True,9,3
Al11V2Ge7,True,9,3
Al11V4Ge5,False,9,3
Al12Co21B17,True,11,3
Al12Co25B13,True,11,3
Al12Co27B11,False,11,3
Al12Cr3Si5,True,10,3
Al12Cr5Si3,False,10,3
Al12CrSi7,False,9,3
Al12Ni25B13,True,11,3
Al12Ni27B11,False,11,3
Al12Ni29B9,False,10,3
Al12Ni31B7,False,10,3
Al12V3Cu5,False,9,3
Al12V3Ge5,True,9,3
Al12VCu7,False,8,3
Al12VGe7,False,8,3
Al13Cr2Si5,True,10,3
Al13Cr3Si4,False,10,3
Al13Cr4Ge3,False,10,3
Al13Cr4Si3,False,10,3
Al13Cr5Si2,False,10,3
Al13Fe3Ni4,False,10,3
Al13Fe4Cu3,True,10,3
Al13Ni6Mo,True,9,3
Al13Si4Ni3,True,10,3
Al13V2Cu5,True,9,3
Al13V2Ge5,True,9,3
Al13V3Cu4,True,9,3
Al13V3Ge4,False,9,3
Al13V4Cu3,False,9,3
Al13VCu6,True,8,3
Al13VGe6,False,8,3
Al14(CrSi)3,False,11,3
Al14(FeNi)3,True,11,3
Al14(Ni7B5)3,False,12,3
Al14(SiNi)3,True,11,3
Al14Cr5Si,False,9,3
Al14CrSi5,False,9,3
Al14Ni25B11,False,11,3
Al14Ni5Mo,True,9,3
Al14VCu5,False,8,3
Al14VGe5,False,8,3
Al15Co2Si3,True,10,3
Al15Cr2Si3,False,10,3
Al15Cr3Si2,False,10,3
Al15Cr4Si,False,9,3
Al15CrSi4,False,9,3
Al15Ni3Mo2,True,10,3
Al15Ni4Mo,True,9,3
Al15V2Cu3,True,9,3
Al15V2Ge3,False,9,3
Al15V3Cu2,False,9,3
Al15VCu4,True,8,3
Al16CrSi3,False,9,3
Al16Ni3Mo,True,9,3
Al16V3Cu,False,8,3
Al16VCu3,True,8,3
Al17Co2Ni,False,9,3
Al17CoNi2,False,9,3
Al17Cr2Si,False,9,3
Al17Cr3,False,7,2
Al17CrSi2,False,9,3
Al17FeNi2,False,9,3
Al17Ni2Mo,True,9,3
Al17V2Cu,True,8,3
Al18CoNi,False,8,3
Al18CrSi,False,8,3
Al18FeCu,True,8,3
Al18FeNi,False,8,3
Al19Cr5Ge26,True,11,3
Al2(Co11B5)3,True,12,3
Al2(Co13B3)3,True,12,3
Al2(Fe13B3)3,True,12,3
Al2(Ni11B5)3,True,12,3
Al2(Ni13B3)3,True,12,3
Al2(Ni9B7)3,True,11,3
Al21(CoNi)2,False,11,3
Al21(FeNi)2,True,11,3
Al21Co5Ge24,True,11,3
Al21Cr4,False,7,2
Al21Fe5Ge24,True,11,3
Al21FeCo3,False,9,3
Al21FeNi3,False,9,3
Al22Co2Ni,False,9,3
Al22Co3,False,7,2
Al22CoNi2,True,9,3
Al22Cr3,False,7,2
Al22Fe2Co,False,9,3
Al22Fe2Ni,False,9,3
Al22Fe3,False,7,2
Al22FeCo2,False,9,3
Al22FeNi2,False,9,3
Al22Ni3,False,7,2
Al23Co2,False,7,2
Al23CoNi,False,8,3
Al23Cr2,False,7,2
Al23Fe2,False,7,2
Al23FeCo,False,8,3
Al23FeNi,False,8,3
Al23Ni2,False,7,2
Al24Co,False,6,2
Al24Cr,False,6,2
Al24Fe,False,6,2
Al24Ni,False,6,2
Al26Cr5Si19,True,11,3
Al26V5Ge19,True,10,3
Al27Mo23,True,8,2
Al29Cr10Si11,False,12,3
Al2Co31B17,True,10,3
Al2Co35B13,True,10,3
Al2Co37B11,True,10,3
Al2Co41B7,False,9,3
Al2Co43B5,False,9,3
Al2Co5B3,True,8,3
Al2Co7B,False,7,3
Al2Cu3,False,6,2
Al2Fe37B11,True,10,3
Al2Fe41B7,True,9,3
Al2Fe43B5,False,9,3
Al2Fe5B3,True,8,3
Al2Ni29B19,True,10,3
Al2Ni31B17,True,10,3
Al2Ni35B13,True,10,3
Al2Ni37B11,True,10,3
Al2Ni5B3,True,8,3
Al2VGe,False,6,3
Al30Cr9Si11,False,11,3
Al32Ni5Ge13,True,11,3
Al33Mo17,True,8,2
Al33Si12Ni5,True,11,3
Al34(Si7Mo15)3,True,14,3
Al34Cr5Si11,True,11,3
Al34V5Ge11,True,10,3
Al35Fe7Cu8,False,10,3
Al35Fe7Ni8,True,10,3
Al35Fe8Ni7,True,10,3
Al36(FeNi)7,True,11,3
Al39Co5Ge6,True,10,3
Al39Fe5Ge6,True,10,3
Al3CrSi,False,7,3
Al3Cu,False,5,2
Al3Cu2,False,6,2
Al3Fe80P17,True,10,3
Al3VGe,False,6,3
Al41Fe2Ni7,False,10,3
Al42Fe3Ni5,False,10,3
Al42Fe7Si,False,9,3
Al42FeCo7,False,9,3
Al42FeNi7,False,9,3
Al43Co7,False,7,2
Al43CoNi6,False,9,3
Al43Cr7,False,7,2
Al43Fe2Co5,False,10,3
Al43Fe2Ni5,False,10,3
Al43Fe3Co4,False,10,3
Al43Fe3Ni4,False,10,3
Al43Fe4Co3,False,10,3
Al43Fe4Ni3,False,10,3
Al43Fe5Co2,False,10,3
Al43Fe5Ni2,False,10,3
Al43Fe6Ni,False,9,3
Al43Fe6Si,False,9,3
Al43FeCo6,True,9,3
Al43FeNi6,True,9,3
Al43Ni7,False,7,2
Al44(CoNi)3,False,11,3
Al44(FeCo)3,False,11,3
Al44(FeNi)3,False,11,3
Al44Co5Ni,False,9,3
Al44CoNi5,False,9,3
Al44Cr5Si,False,9,3
Al44Fe5Co,False,9,3
Al44Fe5Ni,False,9,3
Al44Fe5Si,False,9,3
Al44FeCo5,False,9,3
Al44FeNi5,False,9,3
Al45Co2Ni3,False,10,3
Al45Co3Ni2,False,10,3
Al45Co4Ni,False,9,3
Al45CoNi4,False,9,3
Al45Fe2Co3,False,10,3
Al45Fe2Ni3,False,10,3
Al45Fe3Co2,False,10,3
Al45Fe3Ni2,False,10,3
Al45Fe4Co,False,9,3
Al45Fe4Ni,False,9,3
Al45Fe4Si,False,9,3
Al45FeCo4,False,9,3
Al45FeNi4,False,9,3
Al46Co3Ni,False,9,3
Al46CoNi3,False,9,3
Al46Fe3Co,False,9,3
Al46Fe3Ni,False,9,3
Al46FeCo3,False,9,3
Al46FeNi3,False,9,3
Al47Co2Ni,False,9,3
Al47Co3,False,7,2
Al47CoNi2,False,9,3
Al47Cr3,False,7,2
Al47Fe2Co,False,9,3
Al47Fe2Ni,False,9,3
Al47Fe3,False,7,2
Al47FeCo2,False,9,3
Al47FeNi2,False,9,3
Al47Ni3,False,7,2
Al48CoNi,False,8,3
Al48FeCo,False,8,3
Al48FeNi,False,8,3
Al49Co,False,6,2
Al49Co10Si41,True,12,3
Al49Fe,False,6,2
Al49Ni,False,6,2
Al4Co29B17,True,10,3
Al4Co31B15,True,10,3
Al4Co33B13,True,10,3
Al4Co35B11,True,10,3
Al4Co37B9,True,9,3
Al4Co39B7,False,9,3
Al4Co41B5,False,9,3
Al4Cr,False,5,2
Al4Cu,False,5,2
Al4Fe35B11,True,10,3
