Sample_ID,Treatment,Hardness_HV,Temperature_C,Time_hours
1,Standard_T6,154.96714153011231,160,18
2,Standard_T6,148.61735698828815,160,18
3,Standard_T6,156.47688538100692,160,18
4,Standard_T6,165.23029856408024,160,18
5,Standard_T6,147.65846625276663,160,18
6,Standard_T6,147.6586304305082,160,18
7,Standard_T6,165.79212815507393,160,18
8,Standard_T6,157.6743472915291,160,18
9,Standard_T6,145.30525614065047,160,18
10,Standard_T6,155.42560043585965,160,18
11,Standard_T6,145.36582307187538,160,18
12,Standard_T6,145.34270246429742,160,18
13,Standard_T6,152.41962271566035,160,18
14,Standard_T6,130.86719755342202,160,18
15,Standard_T6,132.75082167486968,160,18
16,Standard_T6,144.37712470759027,160,18
17,Standard_T6,139.87168879665577,160,18
18,Standard_T6,153.14247332595275,160,18
19,Standard_T6,140.91975924478788,160,18
20,Standard_T6,135.87696298664707,160,18
21,Modified_T6,182.58778522705865,180,12
22,Modified_T6,162.29068439416156,180,12
23,Modified_T6,165.8103384562551,180,12
24,Modified_T6,147.90302176543852,180,12
25,Modified_T6,158.4674073056978,180,12
26,Modified_T6,166.33107107651838,180,12
27,Modified_T6,151.18807707093237,180,12
28,Modified_T6,169.50837622014805,180,12
29,Modified_T6,157.79233572097434,180,12
30,Modified_T6,161.49967500248067,180,12
31,Modified_T6,157.77952065324723,180,12
32,Modified_T6,187.22733821410725,180,12
33,Modified_T6,164.83803330314478,180,12
34,Modified_T6,152.30746885252918,180,12
35,Modified_T6,174.87053894523828,180,12
36,Modified_T6,150.34987620034772,180,12
37,Modified_T6,167.50636314005706,180,12
38,Modified_T6,141.4839585134427,180,12
39,Modified_T6,149.06176741321883,180,12
40,Modified_T6,167.3623348304295,180,12
