,HW2.1,HW2.2,HW2.3,HW3.1,HW3.2,HW4,HW5.1,HW5.2,HW6.1,HW6.2,HW7,HW8.1,HW8.2,HW9,HW10,HW11-12,Total Coverage
1.1 (Graphing Skills),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
1.2 (Data Manipulation),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
1.3 (SPPP Relationships),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4 (Material Classes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5 (Geometry Independence),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6 (Anisotropy),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.7 (Materials Selection),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1 (Historical Impact),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2 (Multidisciplinary),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3 (Career Paths),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1 (Bond Types),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.2 (Bond Properties),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.3 (Energy Curves),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.4 (Energy Plotting),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5 (Material Ranking),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.1 (Structure Hierarchy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2 (Bravais Lattices),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3 (FCC/BCC Structures),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.4 (Edge Length Formulas),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.5 (Unit Cell Calculations),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
4.6 (Miller Indices),0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
4.7 (Visual Identification),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
4.8 (Interstitial Sites),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1 (Defect Classification),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.2 (Vacancy Calculations),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
